"","SOURCE","TARGET","L01cov-count","L03cov-count","L04cov-count","L04covaddon-count","L05cov-count","L06cov-count","L07cov-count","L08cov-count","L09cov-count","L10cov-count","L11cov-count","L12cov-count","L13cov-count","L15cov-count","L16cov-count","L17cov-count","L18cov-count","L19cov-count","L21cov-count","L22cov-count"
"31","APC-like","APC-like",4,6,2,11,6,6,8,9,8,0,5,9,1,3,13,0,3,16,5,6
"34","APC-like","B cells",9,16,9,14,6,7,10,10,5,3,8,7,4,4,7,0,3,7,6,7
"33","APC-like","Endothelial cells",9,38,5,21,27,22,19,17,8,2,21,9,3,6,17,0,14,24,6,12
"28","APC-like","Epithelial cells",12,48,16,32,37,26,42,34,15,7,20,18,12,17,26,0,9,21,13,16
"29","APC-like","Fibroblasts",13,47,16,32,38,29,55,30,14,4,19,19,6,8,12,0,8,23,6,18
"36","APC-like","Mast cell-like",5,19,5,13,7,8,18,6,10,0,11,6,5,2,11,0,3,12,1,13
"30","APC-like","Myeloid",18,34,9,34,16,14,35,25,24,3,19,14,5,13,9,0,9,25,12,22
"35","APC-like","Neuron-like cells",6,43,11,23,24,16,26,19,15,4,18,7,4,12,14,0,9,17,11,10
"32","APC-like","T cells",10,26,5,11,8,13,15,8,6,2,9,8,5,4,8,0,2,16,9,7
"58","B cells","APC-like",9,16,9,14,6,7,10,10,5,3,8,7,4,4,7,0,3,7,6,7
"61","B cells","B cells",1,7,5,8,5,5,6,6,3,0,7,5,6,3,3,3,1,3,2,3
"60","B cells","Endothelial cells",7,35,5,12,12,16,8,12,6,4,23,7,20,6,15,8,5,8,6,7
"55","B cells","Epithelial cells",14,43,19,28,24,17,26,24,12,4,31,19,26,15,18,15,8,17,14,18
"56","B cells","Fibroblasts",14,46,18,25,24,23,24,25,10,4,28,18,21,20,12,7,5,16,9,17
"63","B cells","Mast cell-like",2,8,3,10,8,5,8,4,4,1,9,9,3,3,6,2,2,6,3,5
"57","B cells","Myeloid",16,37,13,19,14,13,13,15,10,6,15,13,10,11,14,12,5,14,11,12
"62","B cells","Neuron-like cells",3,41,10,14,8,14,13,14,5,5,19,7,11,5,9,7,6,9,10,9
"59","B cells","T cells",3,20,8,11,5,5,8,4,5,2,6,3,2,4,4,3,0,7,3,6
"49","Endothelial cells","APC-like",9,38,5,21,27,22,19,17,8,2,21,9,3,6,17,0,14,24,6,12
"52","Endothelial cells","B cells",7,35,5,12,12,16,8,12,6,4,23,7,20,6,15,8,5,8,6,7
"51","Endothelial cells","Endothelial cells",11,38,9,24,21,19,16,24,8,9,30,11,23,9,22,10,15,11,7,11
"46","Endothelial cells","Epithelial cells",27,84,25,53,53,42,40,42,18,16,71,40,60,32,53,33,23,15,30,33
"47","Endothelial cells","Fibroblasts",52,127,36,83,95,83,66,67,41,29,122,78,100,46,83,79,43,34,36,48
"54","Endothelial cells","Mast cell-like",8,25,3,13,18,14,14,7,7,7,28,10,13,9,15,6,17,9,6,23
"48","Endothelial cells","Myeloid",21,58,17,32,20,28,30,26,6,7,34,10,5,18,16,18,10,18,11,19
"53","Endothelial cells","Neuron-like cells",17,80,34,58,42,47,34,40,17,19,60,27,37,19,37,19,27,21,25,31
"50","Endothelial cells","T cells",6,43,6,24,12,18,10,10,7,4,26,5,8,6,13,1,2,6,6,13
"4","Epithelial cells","APC-like",12,48,16,32,37,26,42,34,15,7,20,18,12,17,26,0,9,21,13,16
"7","Epithelial cells","B cells",14,43,19,28,24,17,26,24,12,4,31,19,26,15,18,15,8,17,14,18
"6","Epithelial cells","Endothelial cells",27,84,25,53,53,42,40,42,18,16,71,40,60,32,53,33,23,15,30,33
"1","Epithelial cells","Epithelial cells",24,64,18,41,29,23,42,30,12,16,35,33,35,27,25,24,9,12,26,24
"2","Epithelial cells","Fibroblasts",61,137,62,97,85,66,102,85,42,42,101,71,75,71,54,61,37,34,57,77
"9","Epithelial cells","Mast cell-like",4,33,13,19,18,11,29,10,10,3,29,16,14,11,17,14,5,15,12,26
"3","Epithelial cells","Myeloid",35,81,40,58,38,34,58,38,21,15,31,27,15,37,24,29,13,32,34,32
"8","Epithelial cells","Neuron-like cells",22,102,41,64,51,46,46,49,18,19,62,38,43,32,37,31,15,20,31,48
"5","Epithelial cells","T cells",11,51,23,43,17,14,33,16,11,5,28,16,19,14,16,7,1,13,12,19
"13","Fibroblasts","APC-like",13,47,16,32,38,29,55,30,14,4,19,19,6,8,12,0,8,23,6,18
"16","Fibroblasts","B cells",14,46,18,25,24,23,24,25,10,4,28,18,21,20,12,7,5,16,9,17
"15","Fibroblasts","Endothelial cells",52,127,36,83,95,83,66,67,41,29,122,78,100,46,83,79,43,34,36,48
"10","Fibroblasts","Epithelial cells",61,137,62,97,85,66,102,85,42,42,101,71,75,71,54,61,37,34,57,77
"11","Fibroblasts","Fibroblasts",55,86,54,69,95,64,91,76,30,40,107,65,64,54,35,57,34,51,43,63
"18","Fibroblasts","Mast cell-like",6,33,14,28,23,17,38,14,13,9,36,16,16,15,16,10,10,18,14,25
"12","Fibroblasts","Myeloid",36,90,41,60,48,45,63,54,16,13,50,23,13,37,21,25,14,32,27,29
"17","Fibroblasts","Neuron-like cells",40,147,77,110,99,85,74,97,35,26,111,52,76,47,68,42,33,50,47,73
"14","Fibroblasts","T cells",15,69,31,65,18,23,41,17,12,7,44,26,8,12,24,6,6,10,10,32
"76","Mast cell-like","APC-like",5,19,5,13,7,8,18,6,10,0,11,6,5,2,11,0,3,12,1,13
"79","Mast cell-like","B cells",2,8,3,10,8,5,8,4,4,1,9,9,3,3,6,2,2,6,3,5
"78","Mast cell-like","Endothelial cells",8,25,3,13,18,14,14,7,7,7,28,10,13,9,15,6,17,9,6,23
"73","Mast cell-like","Epithelial cells",4,33,13,19,18,11,29,10,10,3,29,16,14,11,17,14,5,15,12,26
"74","Mast cell-like","Fibroblasts",6,33,14,28,23,17,38,14,13,9,36,16,16,15,16,10,10,18,14,25
"81","Mast cell-like","Mast cell-like",1,2,2,4,4,2,4,0,4,1,1,5,3,2,2,3,1,2,2,11
"75","Mast cell-like","Myeloid",9,30,10,24,18,13,26,12,9,10,21,9,10,9,11,11,6,13,10,17
"80","Mast cell-like","Neuron-like cells",4,23,4,17,16,10,19,9,3,6,24,4,7,4,10,3,9,10,7,21
"77","Mast cell-like","T cells",3,9,5,9,7,5,10,2,6,2,8,4,7,4,6,1,2,3,3,14
"22","Myeloid","APC-like",18,34,9,34,16,14,35,25,24,3,19,14,5,13,9,0,9,25,12,22
"25","Myeloid","B cells",16,37,13,19,14,13,13,15,10,6,15,13,10,11,14,12,5,14,11,12
"24","Myeloid","Endothelial cells",21,58,17,32,20,28,30,26,6,7,34,10,5,18,16,18,10,18,11,19
"19","Myeloid","Epithelial cells",35,81,40,58,38,34,58,38,21,15,31,27,15,37,24,29,13,32,34,32
"20","Myeloid","Fibroblasts",36,90,41,60,48,45,63,54,16,13,50,23,13,37,21,25,14,32,27,29
"27","Myeloid","Mast cell-like",9,30,10,24,18,13,26,12,9,10,21,9,10,9,11,11,6,13,10,17
"21","Myeloid","Myeloid",24,51,23,37,30,22,39,22,12,12,29,14,7,31,14,15,9,31,26,19
"26","Myeloid","Neuron-like cells",15,63,22,40,17,25,30,23,11,14,26,12,9,19,11,21,10,24,16,19
"23","Myeloid","T cells",15,62,26,33,22,20,26,22,12,12,20,9,9,22,11,8,4,28,20,16
"67","Neuron-like cells","APC-like",6,43,11,23,24,16,26,19,15,4,18,7,4,12,14,0,9,17,11,10
"70","Neuron-like cells","B cells",3,41,10,14,8,14,13,14,5,5,19,7,11,5,9,7,6,9,10,9
"69","Neuron-like cells","Endothelial cells",17,80,34,58,42,47,34,40,17,19,60,27,37,19,37,19,27,21,25,31
"64","Neuron-like cells","Epithelial cells",22,102,41,64,51,46,46,49,18,19,62,38,43,32,37,31,15,20,31,48
"65","Neuron-like cells","Fibroblasts",40,147,77,110,99,85,74,97,35,26,111,52,76,47,68,42,33,50,47,73
"72","Neuron-like cells","Mast cell-like",4,23,4,17,16,10,19,9,3,6,24,4,7,4,10,3,9,10,7,21
"66","Neuron-like cells","Myeloid",15,63,22,40,17,25,30,23,11,14,26,12,9,19,11,21,10,24,16,19
"71","Neuron-like cells","Neuron-like cells",4,44,25,33,25,23,15,23,9,8,28,15,16,9,18,11,6,10,13,24
"68","Neuron-like cells","T cells",3,45,16,36,8,20,17,12,7,4,18,8,4,8,12,2,1,9,7,13
"40","T cells","APC-like",10,26,5,11,8,13,15,8,6,2,9,8,5,4,8,0,2,16,9,7
"43","T cells","B cells",3,20,8,11,5,5,8,4,5,2,6,3,2,4,4,3,0,7,3,6
"42","T cells","Endothelial cells",6,43,6,24,12,18,10,10,7,4,26,5,8,6,13,1,2,6,6,13
"37","T cells","Epithelial cells",11,51,23,43,17,14,33,16,11,5,28,16,19,14,16,7,1,13,12,19
"38","T cells","Fibroblasts",15,69,31,65,18,23,41,17,12,7,44,26,8,12,24,6,6,10,10,32
"45","T cells","Mast cell-like",3,9,5,9,7,5,10,2,6,2,8,4,7,4,6,1,2,3,3,14
"39","T cells","Myeloid",15,62,26,33,22,20,26,22,12,12,20,9,9,22,11,8,4,28,20,16
"44","T cells","Neuron-like cells",3,45,16,36,8,20,17,12,7,4,18,8,4,8,12,2,1,9,7,13
"41","T cells","T cells",2,15,3,8,5,6,4,5,4,2,4,2,2,4,2,0,0,6,3,2
